Rank,StartTime,Flgs,Dur,SrcAddr,DstAddr,Proto,Sport,Dport,sTos,dTos,sDSb,dDSb,sTtl,dTtl,sHops,dHops,sIpId,dIpId,Cause,SrcPkts,DstPkts,SrcBytes,DstBytes,PCRatio,SrcLoad,DstLoad,SrcLoss,DstLoss,SrcRetra,DstRetra,SrcGap,DstGap,SIntPkt,DIntPkt,SrcJitter,DstJitter,State,SrcWin,DstWin
259,1483137603.595826, e        ,4.251635,192.168.1.66,192.168.1.110,tcp,56280,502,0,0,cs0,cs0,64,128,0,0,0xddc6,0x2f1f,Status,12,16,732,996,0.076923,1262.573120,1757.441528,0,0,0,0,0,0,427.163594,312.527750,472.446031,364.272719,CON,1868800,2048
260,1483137607.173730, e        ,4.760499,192.168.1.66,192.168.1.120,tcp,53738,502,0,0,cs0,cs0,64,128,0,0,0xbf17,0xa032,Status,10,25,610,1530,0.076923,922.592346,2468.648682,0,0,0,0,0,0,513.028906,199.568078,488.067250,218.934469,CON,1868800,2048
261,1483137608.759011, e        ,4.196298,192.168.1.66,192.168.1.110,tcp,56280,502,0,0,cs0,cs0,64,128,0,0,0xe9c6,0x4f1f,Status,12,16,732,996,0.076923,1279.222778,1780.617065,0,0,0,0,0,0,433.146500,316.728187,480.139937,435.598844,CON,1868800,2048
262,1483137612.304212, e        ,4.630003,192.168.1.66,192.168.1.120,tcp,53738,502,0,0,cs0,cs0,64,128,0,0,0xc917,0xcd32,Status,10,25,610,1530,0.076923,948.595520,2538.227295,0,0,0,0,0,0,514.345094,199.999437,486.692187,201.706594,CON,1868800,2048
263,1483137613.915984, e        ,4.908361,192.168.1.66,192.168.1.110,tcp,56280,502,0,0,cs0,cs0,64,128,0,0,0xf5c6,0x721f,Status,12,17,732,1056,0.076923,1093.644043,1620.092773,0,0,0,0,0,0,429.626250,347.601938,470.007125,360.692875,CON,1868800,2048
264,1483137617.447715, e        ,4.486263,192.168.1.66,192.168.1.120,tcp,53738,502,0,0,cs0,cs0,64,128,0,0,0xd317,0xfa32,Status,10,25,610,1530,0.076923,978.988586,2619.552246,0,0,0,0,0,0,513.507812,199.990516,487.501625,228.335813,CON,1868800,2048
265,1483137618.846400, e        ,4.977626,192.168.1.66,192.168.1.110,tcp,56280,502,0,0,cs0,cs0,64,128,0,0,0x04c7,0x991f,Status,15,19,936,1194,0.076923,1404.685791,1819.341187,0,0,0,0,0,0,347.974000,263.141094,456.406375,250.689078,CON,1868800,2048
266,1483137622.582720, e        ,4.361372,192.168.1.66,192.168.1.120,tcp,53738,502,0,0,cs0,cs0,64,128,0,0,0xdd17,0x2733,Status,10,25,610,1530,0.076923,1007.022583,2694.564941,0,0,0,0,0,0,513.221312,200.404562,487.778062,266.683000,CON,1868800,2048
267,1483137623.847911, e        ,4.999021,192.168.1.66,192.168.1.110,tcp,56280,502,0,0,cs0,cs0,64,128,0,0,0x12c7,0xbf1f,Status,14,18,854,1122,0.076923,1269.048462,1696.332153,0,0,0,0,0,0,370.133281,279.050344,459.744406,245.350891,CON,1868800,2048
268,1483137627.714560, e        ,4.229157,192.168.1.66,192.168.1.120,tcp,53738,502,0,0,cs0,cs0,64,128,0,0,0xe717,0x5433,Status,10,25,610,1530,0.076923,1038.504883,2778.804443,0,0,0,0,0,0,512.952813,199.985000,487.837281,325.481125,CON,1868800,2048
269,1483137629.513615, e        ,4.332810,192.168.1.66,192.168.1.110,tcp,56280,502,0,0,cs0,cs0,64,128,0,0,0x25c7,0xeb1f,Status,19,21,1180,1326,0.076923,2064.249268,2331.973877,0,0,0,0,0,0,280.366406,238.071094,421.828750,344.745219,CON,1868800,2048
270,1483137632.844082, e        ,4.979936,192.168.1.66,192.168.1.120,tcp,53738,502,0,0,cs0,cs0,64,128,0,0,0xf117,0x8233,Status,10,26,610,1590,0.076923,881.939026,2456.256348,0,0,0,0,0,0,516.571906,226.165422,484.570031,350.598313,CON,1868800,2048
271,1483137634.803626, e        ,4.228423,192.168.1.66,192.168.1.110,tcp,56280,502,0,0,cs0,cs0,64,128,0,0,0x33c7,0x1020,Status,14,18,868,1128,0.076923,1524.918335,2016.827515,0,0,0,0,0,0,370.913344,288.076875,458.943750,401.455125,CON,1868800,2048
272,1483137637.847303, e        ,4.977043,192.168.1.66,192.168.1.120,tcp,53738,502,0,0,cs0,cs0,64,128,0,0,0xfb17,0xaf33,Status,10,25,610,1530,0.076923,882.451660,2361.241211,0,0,0,0,0,0,514.720094,200.013125,486.545813,272.310156,CON,1868800,2048
273,1483137639.824671, e        ,4.502107,192.168.1.66,192.168.1.110,tcp,56280,502,0,0,cs0,cs0,64,128,0,0,0x46c7,0x3e20,Status,19,22,1194,1392,0.076923,2011.502563,2361.560791,0,0,0,0,0,0,278.669938,240.671000,422.560594,277.683438,CON,1868800,2048
274,1483137642.848567, e        ,4.998029,192.168.1.66,192.168.1.120,tcp,53738,502,0,0,cs0,cs0,64,128,0,0,0x0518,0xde33,Status,10,26,610,1590,0.076923,878.746338,2447.364746,0,0,0,0,0,0,513.894094,193.163469,487.241219,218.101844,CON,1868800,2048
275,1483137644.826129, e        ,4.998083,192.168.1.66,192.168.1.110,tcp,56280,502,0,0,cs0,cs0,64,128,0,0,0x57c7,0x6a20,Status,17,21,1058,1320,0.076923,1594.211182,2013.571899,0,0,0,0,0,0,309.246531,261.792422,436.858844,259.877859,CON,1868800,2048
276,1483137647.883283, e        ,4.999836,192.168.1.66,192.168.1.120,tcp,53738,502,0,0,cs0,cs0,64,128,0,0,0x0f18,0x0c34,Status,10,26,610,1590,0.076923,878.428833,2446.480225,0,0,0,0,0,0,512.663500,193.712422,488.245156,199.503562,CON,1868800,2048
277,1483137649.848876, e        ,4.980329,192.168.1.66,192.168.1.110,tcp,56280,502,0,0,cs0,cs0,64,128,0,0,0x68c7,0x9320,Status,17,20,1072,1260,0.124088,1620.776489,1922.764526,0,0,0,0,0,0,308.543281,250.238047,441.981375,360.286781,CON,1868800,2048
278,1483137652.942958, e        ,4.941530,192.168.1.66,192.168.1.120,tcp,53738,502,0,0,cs0,cs0,64,128,0,0,0x1918,0x3934,Status,10,25,610,1530,0.076923,888.793518,2378.210693,0,0,0,0,0,0,512.936312,200.054766,488.189469,213.810484,CON,1868800,2048
279,1483137654.870478, e        ,4.975347,192.168.1.66,192.168.1.110,tcp,56280,502,0,0,cs0,cs0,64,128,0,0,0x79c7,0xc020,Status,17,21,1044,1320,0.024390,1580.593262,2022.773438,0,0,0,0,0,0,252.827641,238.897719,399.727688,342.361906,CON,1868800,2048
