Rank,StartTime,Flgs,Dur,SrcAddr,DstAddr,Proto,Sport,Dport,sTos,dTos,sDSb,dDSb,sTtl,dTtl,sHops,dHops,sIpId,dIpId,Cause,SrcPkts,DstPkts,SrcBytes,DstBytes,PCRatio,SrcLoad,DstLoad,SrcLoss,DstLoss,SrcRetra,DstRetra,SrcGap,DstGap,SIntPkt,DIntPkt,SrcJitter,DstJitter,State,SrcWin,DstWin
2990,1483143976.626398, e        ,4.999511,192.168.1.66,192.168.1.120,tcp,53741,502,0,0,cs0,cs0,64,128,0,0,0xf1a1,0xfdb7,Status,20,11,1210,804,-0.235294,1840.180054,1169.714478,0,0,0,0,0,0,250.000000,459.696906,387.520062,441.433594,CON,1868800,2048
2991,1483143977.568517, e        ,4.999794,192.168.1.66,192.168.1.110,tcp,56283,502,0,0,cs0,cs0,64,128,0,0,0xa1f9,0x9b76,Status,10,5,610,330,0.076923,878.436218,422.417389,0,0,0,0,0,0,500.002094,1000.024813,477.833031,0.290141,CON,1868800,2048
2992,1483143981.626697, e        ,4.999076,192.168.1.66,192.168.1.120,tcp,53741,502,0,0,cs0,cs0,64,128,0,0,0x06a2,0x07b8,Status,21,10,1264,725,-0.174603,1926.756104,1044.993164,0,0,0,0,0,0,239.018578,499.951312,381.141437,443.264156,CON,1868800,2048
2993,1483143982.568671, e        ,4.977727,192.168.1.66,192.168.1.110,tcp,56283,502,0,0,cs0,cs0,64,128,0,0,0xabf9,0x9f76,Status,10,4,610,264,0.186441,882.330444,318.217529,0,0,0,0,0,0,499.998688,999.896250,477.989719,0.037881,CON,1868800,2048
2994,1483143987.547013, e        ,4.999994,192.168.1.66,192.168.1.120,tcp,53741,502,0,0,cs0,cs0,64,128,0,0,0x1ba2,0x11b8,Status,21,10,1278,725,-0.124620,1948.802368,1044.801270,0,0,0,0,0,0,281.963531,500.106812,404.049781,442.807125,CON,1868800,2048
2995,1483143987.569461, e        ,4.998599,192.168.1.66,192.168.1.110,tcp,56283,502,0,0,cs0,cs0,64,128,0,0,0xb6f9,0xa576,Status,11,6,664,396,-0.014085,966.670837,528.148010,0,0,0,0,0,0,456.514719,999.967688,475.813250,0.558985,CON,1868800,2048
2996,1483143992.569160, e        ,4.999441,192.168.1.66,192.168.1.120,tcp,53741,502,0,0,cs0,cs0,64,128,0,0,0x2fa2,0x1cb8,Status,20,11,1210,791,-0.204893,1840.205688,1152.128784,0,0,0,0,0,0,250.000750,540.191937,387.600312,441.537188,CON,1868800,2048
2997,1483143993.546396, e        ,4.021848,192.168.1.66,192.168.1.110,tcp,56283,502,0,0,cs0,cs0,64,128,0,0,0xc0f9,0xaa76,Status,10,5,610,330,0.076923,1092.035278,525.131714,0,0,0,0,0,0,500.018406,1000.047187,477.980031,0.304411,CON,1868800,2048
2998,1483143997.568884, e        ,4.978152,192.168.1.66,192.168.1.120,tcp,53741,502,0,0,cs0,cs0,64,128,0,0,0x43a2,0x25b8,Status,20,9,1210,659,-0.141914,1848.075439,941.714966,0,0,0,0,0,0,250.000703,450.751781,387.397375,440.314687,CON,1868800,2048
2999,1483143998.546406, e        ,4.999988,192.168.1.66,192.168.1.110,tcp,56283,502,0,0,cs0,cs0,64,128,0,0,0xcbf9,0xaf76,Status,11,5,678,330,0.166667,987.202332,422.401001,0,0,0,0,0,0,543.468187,1000.006813,476.088156,0.334853,CON,1868800,2048
