Variable,Value,NX,NXc,NX'c,Nc,N'c,N,P(C),P('C),P(C|X),P(X|C),Epsilon,Score
dIpId,10,243,78,165,823,2238,3061,.26886638353479255145,.73113361646520744855,0.320988,0.0947752,1.83253,0.239393
dIpId,11,215,52,163,823,2238,3061,.26886638353479255145,.73113361646520744855,0.24186,0.0631835,-0.893124,-0.153111
dIpId,04,234,61,173,823,2238,3061,.26886638353479255145,.73113361646520744855,0.260684,0.0741191,-0.282315,-0.0527252
dIpId,05,239,71,168,823,2238,3061,.26886638353479255145,.73113361646520744855,0.297071,0.0862697,0.983455,0.127739
dIpId,12,237,64,173,823,2238,3061,.26886638353479255145,.73113361646520744855,0.270042,0.0777643,0.0408268,-0.00482548
dIpId,06,237,54,183,823,2238,3061,.26886638353479255145,.73113361646520744855,0.227848,0.0656136,-1.42425,-0.229882
dIpId,13,27,8,19,823,2238,3061,.26886638353479255145,.73113361646520744855,0.296296,0.00972053,0.321469,0.0514664
dIpId,07,244,69,175,823,2238,3061,.26886638353479255145,.73113361646520744855,0.282787,0.0838396,0.490437,0.0588728
dIpId,08,228,66,162,823,2238,3061,.26886638353479255145,.73113361646520744855,0.289474,0.0801944,0.701814,0.0907982
dIpId,09,235,58,177,823,2238,3061,.26886638353479255145,.73113361646520744855,0.246809,0.0704739,-0.76266,-0.125635
Cause,01,7,4,3,823,2238,3061,.26886638353479255145,.73113361646520744855,0.571429,0.00486027,1.8055,0.998848
Cause,02,3054,819,2235,823,2238,3061,.26886638353479255145,.73113361646520744855,0.268173,0.99514,-0.0864394,-0.00473886
SrcPkts,00000,2,0,2,823,2238,3061,.26886638353479255145,.73113361646520744855,0,0,-0.8576,-1.48606
SrcPkts,00001,10,10,0,823,2238,3061,.26886638353479255145,.73113361646520744855,1,0.0121507,5.21471,2.64108
SrcPkts,00002,1469,355,1114,823,2238,3061,.26886638353479255145,.73113361646520744855,0.241661,0.431349,-2.35179,-0.145602
SrcPkts,00003,301,301,0,823,2238,3061,.26886638353479255145,.73113361646520744855,1,0.365735,28.6097,6.01392
SrcPkts,00004,1256,134,1122,823,2238,3061,.26886638353479255145,.73113361646520744855,0.106688,0.162819,-12.9635,-1.12548
SrcPkts,00005,23,23,0,823,2238,3061,.26886638353479255145,.73113361646520744855,1,0.0279465,7.9085,3.45558
DstPkts,01,722,0,722,823,2238,3061,.26886638353479255145,.73113361646520744855,0,0,-16.2944,-7.09002
DstPkts,02,663,2,661,823,2238,3061,.26886638353479255145,.73113361646520744855,0.00301659,0.00243013,-15.4393,-4.69942
DstPkts,03,289,174,115,823,2238,3061,.26886638353479255145,.73113361646520744855,0.602076,0.211422,12.7761,1.39701
DstPkts,04,620,181,439,823,2238,3061,.26886638353479255145,.73113361646520744855,0.291935,0.219927,1.29557,0.109527
DstPkts,05,548,337,211,823,2238,3061,.26886638353479255145,.73113361646520744855,0.614964,0.409478,18.2735,1.4583
DstPkts,06,164,106,58,823,2238,3061,.26886638353479255145,.73113361646520744855,0.646341,0.128797,10.9029,1.57004
DstPkts,07,33,20,13,823,2238,3061,.26886638353479255145,.73113361646520744855,0.606061,0.0243013,4.36888,1.29758
DstPkts,08,4,3,1,823,2238,3061,.26886638353479255145,.73113361646520744855,0.75,0.0036452,2.17035,1.07031
DstPkts,00000,18,0,18,823,2238,3061,.26886638353479255145,.73113361646520744855,0,0,-2.5728,-3.50096,
SrcBytes,010,64,64,0,823,2238,3061,.26886638353479255145,.73113361646520744855,1,0.0777643,13.1923,4.46642
SrcBytes,011,109,109,0,823,2238,3061,.26886638353479255145,.73113361646520744855,1,0.132442,17.2164,4.99813
SrcBytes,004,3,3,0,823,2238,3061,.26886638353479255145,.73113361646520744855,1,0.0036452,2.85621,1.44513
SrcBytes,012,1165,44,1121,823,2238,3061,.26886638353479255145,.73113361646520744855,0.0377682,0.0534629,-17.7907,-2.23805
SrcBytes,005,7,7,0,823,2238,3061,.26886638353479255145,.73113361646520744855,1,0.00850547,4.36294,2.26931
SrcBytes,006,1318,206,1112,823,2238,3061,.26886638353479255145,.73113361646520744855,0.156297,0.250304,-9.21743,-0.688418
SrcBytes,013,58,57,1,823,2238,3061,.26886638353479255145,.73113361646520744855,0.982759,0.0692588,12.2625,3.94535
SrcBytes,014,22,22,0,823,2238,3061,.26886638353479255145,.73113361646520744855,1,0.0267315,7.73466,3.40208
SrcBytes,007,57,55,2,823,2238,3061,.26886638353479255145,.73113361646520744855,0.964912,0.0668287,11.8525,3.62202
SrcBytes,008,94,94,0,823,2238,3061,.26886638353479255145,.73113361646520744855,1,0.114216,15.988,4.85025
SrcBytes,015,17,17,0,823,2238,3061,.26886638353479255145,.73113361646520744855,1,0.0206561,6.79915,3.14581
SrcBytes,009,128,128,0,823,2238,3061,.26886638353479255145,.73113361646520744855,1,0.155529,18.6567,5.15865
SrcBytes,016,6,6,0,823,2238,3061,.26886638353479255145,.73113361646520744855,1,0.0072904,4.0393,2.11688
SrcBytes,017,8,8,0,823,2238,3061,.26886638353479255145,.73113361646520744855,1,0.00972053,4.66418,2.39974
SrcBytes,018,3,3,0,823,2238,3061,.26886638353479255145,.73113361646520744855,1,0.0036452,2.85621,1.44278
SrcBytes,000,1,0,1,823,2238,3061,.26886638353479255145,.73113361646520744855,0,0,-0.606415,-2.23983
SrcBytes,001,1,0,1,823,2238,3061,.26886638353479255145,.73113361646520744855,0,0,-0.606415,-2.17921
DstBytes,003,708,0,708,823,2238,3061,.26886638353479255145,.73113361646520744855,0,0,-16.1357,-8.13137
DstBytes,010,68,38,30,823,2238,3061,.26886638353479255145,.73113361646520744855,0.558824,0.0461725,5.39289,1.17272
DstBytes,011,163,109,54,823,2238,3061,.26886638353479255145,.73113361646520744855,0.668712,0.132442,11.5138,1.66555
DstBytes,004,1,0,1,823,2238,3061,.26886638353479255145,.73113361646520744855,0,0,-0.606415,-2.23983
DstBytes,012,152,55,97,823,2238,3061,.26886638353479255145,.73113361646520744855,0.361842,0.0668287,2.58538,0.412459
DstBytes,013,296,82,214,823,2238,3061,.26886638353479255145,.73113361646520744855,0.277027,0.0996355,0.316668,0.0312262
DstBytes,020,29,16,13,823,2238,3061,.26886638353479255145,.73113361646520744855,0.551724,0.0194411,3.43558,1.06818
DstBytes,006,14,1,13,823,2238,3061,.26886638353479255145,.73113361646520744855,0.0714286,0.00121507,-1.6662,-1.63509
DstBytes,007,593,0,593,823,2238,3061,.26886638353479255145,.73113361646520744855,0,0,-14.7672,-7.95466
DstBytes,021,25,15,10,823,2238,3061,.26886638353479255145,.73113361646520744855,0.6,0.018226,3.73428,1.22711
DstBytes,014,124,27,97,823,2238,3061,.26886638353479255145,.73113361646520744855,0.217742,0.0328068,-1.28402,-0.29759
DstBytes,015,322,235,87,823,2238,3061,.26886638353479255145,.73113361646520744855,0.729814,0.285541,18.6557,1.97012
DstBytes,008,69,1,68,823,2238,3061,.26886638353479255145,.73113361646520744855,0.0144928,0.00121507,-4.76574,-3.17554
DstBytes,022,9,3,6,823,2238,3061,.26886638353479255145,.73113361646520744855,0.333333,0.0036452,0.436206,0.0433363
DstBytes,016,117,47,70,823,2238,3061,.26886638353479255145,.73113361646520744855,0.401709,0.0571081,3.2409,0.573965
DstBytes,023,6,5,1,823,2238,3061,.26886638353479255145,.73113361646520744855,0.833333,0.00607533,3.11851,1.52494
DstBytes,009,43,26,17,823,2238,3061,.26886638353479255145,.73113361646520744855,0.604651,0.0315917,4.96625,1.31546
DstBytes,017,121,70,51,823,2238,3061,.26886638353479255145,.73113361646520744855,0.578512,0.0850547,7.68231,1.27815
DstBytes,024,6,2,4,823,2238,3061,.26886638353479255145,.73113361646520744855,0.333333,0.00243013,0.356161,-0.0605438
DstBytes,018,99,40,59,823,2238,3061,.26886638353479255145,.73113361646520744855,0.40404,0.0486027,3.0335,0.578775
DstBytes,025,3,3,0,823,2238,3061,.26886638353479255145,.73113361646520744855,1,0.0036452,2.85621,1.42963
DstBytes,019,74,48,26,823,2238,3061,.26886638353479255145,.73113361646520744855,0.648649,0.0583232,7.36858,1.53945
DstBytes,026,1,0,1,823,2238,3061,.26886638353479255145,.73113361646520744855,0,0,-0.606415,-2.62549
DstBytes,000,1,0,1,823,2238,3061,.26886638353479255145,.73113361646520744855,0,0,-0.606415,-2.66471
DstBytes,001,1,0,1,823,2238,3061,.26886638353479255145,.73113361646520744855,0,0,-0.606415,-2.54211
DstBytes,002,16,0,16,823,2238,3061,.26886638353479255145,.73113361646520744855,0,0,-2.42566,-4.45647,
PCRatio,10,1511,798,713,823,2238,3061,.26886638353479255145,.73113361646520744855,0.528127,0.969623,22.7301,1.10909
PCRatio,11,219,19,200,823,2238,3061,.26886638353479255145,.73113361646520744855,0.086758,0.0230863,-6.07835,-1.34759
PCRatio,12,1,1,0,823,2238,3061,.26886638353479255145,.73113361646520744855,1,0.00121507,1.64904,0.593383
PCRatio,07,215,0,215,823,2238,3061,.26886638353479255145,.73113361646520744855,0,0,-8.89179,-5.47966
PCRatio,08,907,0,907,823,2238,3061,.26886638353479255145,.73113361646520744855,0,0,-18.2631,-6.91211
PCRatio,09,208,5,203,823,2238,3061,.26886638353479255145,.73113361646520744855,0.0240385,0.00607533,-7.9639,-2.65019
SrcLoad,010,306,60,246,823,2238,3061,.26886638353479255145,.73113361646520744855,0.196078,0.072904,-2.8718,-0.419003
SrcLoad,011,33,33,0,823,2238,3061,.26886638353479255145,.73113361646520744855,1,0.0400972,9.47299,3.80445
SrcLoad,012,52,52,0,823,2238,3061,.26886638353479255145,.73113361646520744855,1,0.0631835,11.8914,4.25837
SrcLoad,013,42,40,2,823,2238,3061,.26886638353479255145,.73113361646520744855,0.952381,0.0486027,9.99093,3.30328
SrcLoad,020,44,36,8,823,2238,3061,.26886638353479255145,.73113361646520744855,0.818182,0.0437424,8.21829,2.28184
SrcLoad,006,3,2,1,823,2238,3061,.26886638353479255145,.73113361646520744855,0.666667,0.00243013,1.55403,0.631123
SrcLoad,021,58,36,22,823,2238,3061,.26886638353479255145,.73113361646520744855,0.62069,0.0437424,6.04327,1.40637
SrcLoad,014,50,50,0,823,2238,3061,.26886638353479255145,.73113361646520744855,1,0.0607533,11.6604,4.2192
SrcLoad,007,7,7,0,823,2238,3061,.26886638353479255145,.73113361646520744855,1,0.00850547,4.36294,2.26254
SrcLoad,008,565,118,447,823,2238,3061,.26886638353479255145,.73113361646520744855,0.20885,0.143378,-3.21759,-0.336863
SrcLoad,022,172,23,149,823,2238,3061,.26886638353479255145,.73113361646520744855,0.133721,0.0279465,-3.9976,-0.879722
SrcLoad,015,58,58,0,823,2238,3061,.26886638353479255145,.73113361646520744855,1,0.0704739,12.5587,4.36742
SrcLoad,009,463,44,419,823,2238,3061,.26886638353479255145,.73113361646520744855,0.0950324,0.0534629,-8.43643,-1.25791
SrcLoad,023,24,24,0,823,2238,3061,.26886638353479255145,.73113361646520744855,1,0.0291616,8.07859,3.48684
SrcLoad,016,43,43,0,823,2238,3061,.26886638353479255145,.73113361646520744855,1,0.0522479,10.8135,4.06862
SrcLoad,030,2,2,0,823,2238,3061,.26886638353479255145,.73113361646520744855,1,0.00243013,2.33209,1.03807
SrcLoad,024,12,11,1,823,2238,3061,.26886638353479255145,.73113361646520744855,0.916667,0.0133657,5.06134,2.30484
SrcLoad,017,63,63,0,823,2238,3061,.26886638353479255145,.73113361646520744855,1,0.0765492,13.0888,4.45001
SrcLoad,031,2,2,0,823,2238,3061,.26886638353479255145,.73113361646520744855,1,0.00243013,2.33209,1.03659
SrcLoad,018,562,43,519,823,2238,3061,.26886638353479255145,.73113361646520744855,0.0765125,0.0522479,-10.285,-1.49398
SrcLoad,025,6,6,0,823,2238,3061,.26886638353479255145,.73113361646520744855,1,0.0072904,4.0393,2.10973
SrcLoad,019,471,48,423,823,2238,3061,.26886638353479255145,.73113361646520744855,0.101911,0.0583232,-8.17231,-1.1805
SrcLoad,026,13,13,0,823,2238,3061,.26886638353479255145,.73113361646520744855,1,0.0157959,5.94568,2.87633
SrcLoad,027,5,5,0,823,2238,3061,.26886638353479255145,.73113361646520744855,1,0.00607533,3.68736,1.92984
SrcLoad,028,1,1,0,823,2238,3061,.26886638353479255145,.73113361646520744855,1,0.00121507,1.64904,0.379809
SrcLoad,029,3,3,0,823,2238,3061,.26886638353479255145,.73113361646520744855,1,0.0036452,2.85621,1.4287
SrcLoad,000,1,0,1,823,2238,3061,.26886638353479255145,.73113361646520744855,0,0,-0.606415,-2.70245
DstLoad,010,450,0,450,823,2238,3061,.26886638353479255145,.73113361646520744855,0,0,-12.864,-8.13526
DstLoad,003,16,0,16,823,2238,3061,.26886638353479255145,.73113361646520744855,0,0,-2.42566,-4.91195
DstLoad,004,448,0,448,823,2238,3061,.26886638353479255145,.73113361646520744855,0,0,-12.8354,-8.13082
DstLoad,011,145,0,145,823,2238,3061,.26886638353479255145,.73113361646520744855,0,0,-7.3022,-7.01201
DstLoad,005,258,0,258,823,2238,3061,.26886638353479255145,.73113361646520744855,0,0,-9.74047,-7.58226
DstLoad,012,65,0,65,823,2238,3061,.26886638353479255145,.73113361646520744855,0,0,-4.88907,-6.22627
DstLoad,020,163,47,116,823,2238,3061,.26886638353479255145,.73113361646520744855,0.288344,0.0571081,0.560858,0.0793481
DstLoad,013,8,2,6,823,2238,3061,.26886638353479255145,.73113361646520744855,0.25,0.00243013,-0.120356,-0.363349
