Flgs,Dur,SrcAddr,DstAddr,Proto,Sport,Dport,sTos,dTos,sDSb,dDSb,sTtl,dTtl,sHops,dHops,sIpId,dIpId,Cause,SrcPkts,DstPkts,SrcBytes,DstBytes,PCRatio,SrcLoad,DstLoad,SrcLoss,DstLoss,SrcRetra,DstRetra,SrcGap,DstGap,SIntPkt,DIntPkt,SrcJitter,DstJitter,State,SrcWin,DstWin,Anomaly
01,49,3232235842,3232235896,01,53738,502,0,0,01,01,64,128,0,0,07,07,02,00004,02,012,008,07,018,011,000,000,0,0,000,000,002,004,003,004,01,01,04,0
01,49,3232235842,3232235886,01,56280,502,0,0,01,01,64,128,0,0,02,11,02,00002,03,006,010,10,008,015,000,000,0,0,000,000,005,002,004,002,01,01,04,0
01,40,3232235842,3232235886,01,56280,502,0,0,01,01,64,128,0,0,11,02,02,00002,01,006,003,10,010,005,000,000,0,0,000,000,005,010,004,000,01,01,04,0
01,41,3232235842,3232235896,01,53738,502,0,0,01,01,64,128,0,0,01,11,02,00004,02,012,007,08,022,012,000,000,0,0,000,000,002,004,003,004,01,01,04,0
01,46,3232235842,3232235886,01,56283,502,0,0,01,01,64,128,0,0,11,13,02,00003,03,009,011,10,015,018,000,000,0,0,000,000,003,002,004,002,01,01,04,1
01,40,3232235842,3232235886,01,56283,502,0,0,01,01,64,128,0,0,10,08,02,00002,01,006,003,10,010,005,000,000,0,0,000,000,004,009,004,000,01,01,04,0
01,40,3232235842,3232235886,01,56283,502,0,0,01,01,64,128,0,0,11,02,02,00002,04,006,012,10,010,022,000,000,0,0,000,000,004,002,004,003,01,01,04,0
01,40,3232235842,3232235886,01,56280,502,0,0,01,01,64,128,0,0,09,03,02,00002,03,006,011,10,010,020,000,000,0,0,000,000,005,002,004,003,01,01,04,0
01,49,3232235842,3232235886,01,56280,502,0,0,01,01,64,128,0,0,09,01,02,00002,01,006,003,10,008,004,000,000,0,0,000,000,005,010,004,000,01,01,04,0
01,49,3232235842,3232235896,01,53738,502,0,0,01,01,64,128,0,0,00,07,02,00004,04,012,013,07,018,021,000,000,0,0,000,000,002,002,003,002,01,01,04,0
01,49,3232235842,3232235896,01,53741,502,0,0,01,01,64,128,0,0,11,06,02,00002,05,008,017,10,012,026,000,000,0,0,000,000,003,001,004,003,01,01,04,1
01,49,3232235842,3232235886,01,56283,502,0,0,01,01,64,128,0,0,03,05,02,00002,01,006,003,09,009,005,000,000,0,0,000,000,004,010,004,000,01,01,04,0
01,41,3232235842,3232235896,01,53738,502,0,0,01,01,64,128,0,0,12,12,02,00002,05,006,015,10,010,028,000,000,0,0,000,000,005,002,004,003,01,01,04,1
01,42,3232235842,3232235896,01,53738,502,0,0,01,01,64,128,0,0,04,05,02,00002,05,006,015,10,010,027,000,000,0,0,000,000,005,001,004,003,01,01,04,1
01,40,3232235842,3232235896,01,53741,502,0,0,01,01,64,128,0,0,06,03,02,00004,02,012,007,08,022,012,000,000,0,0,000,000,002,005,003,004,01,01,04,0
01,49,3232235842,3232235886,01,56283,502,0,0,01,01,64,128,0,0,03,12,02,00002,01,006,003,10,008,004,000,000,0,0,000,000,005,010,004,000,01,01,04,0
01,44,3232235842,3232235886,01,56280,502,0,0,01,01,64,128,0,0,05,12,02,00002,03,006,011,10,009,018,000,000,0,0,000,000,005,002,004,002,01,01,04,0
01,40,3232235842,3232235886,01,56283,502,0,0,01,01,64,128,0,0,04,12,02,00002,01,006,003,10,010,005,000,000,0,0,000,000,004,009,004,000,01,01,04,0
01,49,3232235842,3232235886,01,56283,502,0,0,01,01,64,128,0,0,12,03,02,00002,01,006,003,10,009,004,000,000,0,0,000,000,004,009,004,000,01,01,04,0
01,49,3232235842,3232235886,01,56283,502,0,0,01,01,64,128,0,0,01,00,02,00002,05,006,016,09,009,025,000,000,0,0,000,000,004,001,004,003,01,01,04,0
01,49,3232235842,3232235886,01,56283,502,0,0,01,01,64,128,0,0,01,04,02,00002,01,006,003,10,008,004,000,000,0,0,000,000,004,010,004,000,01,01,04,0
01,40,3232235842,3232235886,01,56280,502,0,0,01,01,64,128,0,0,09,07,02,00002,01,006,004,10,010,007,000,000,0,0,000,000,004,007,004,003,01,01,04,0
01,49,3232235842,3232235896,01,53738,502,0,0,01,01,64,128,0,0,11,09,02,00004,02,012,007,08,018,010,000,000,0,0,000,000,002,005,003,004,01,01,04,0
01,49,3232235842,3232235896,01,53738,502,0,0,01,01,64,128,0,0,08,10,02,00002,05,006,015,10,008,024,000,000,0,0,000,000,005,002,004,002,01,01,04,1
01,42,3232235842,3232235886,01,56280,502,0,0,01,01,64,128,0,0,01,02,02,00002,04,006,013,10,010,024,000,000,0,0,000,000,005,002,004,003,01,01,04,0
01,49,3232235842,3232235896,01,53741,502,0,0,01,01,64,128,0,0,06,09,02,00004,05,012,017,08,018,026,000,000,0,0,000,000,002,001,003,002,01,01,04,0
01,49,3232235842,3232235896,01,53738,502,0,0,01,01,64,128,0,0,10,09,02,00004,02,012,007,07,019,011,000,000,0,0,000,000,002,005,003,004,01,01,04,0
01,40,3232235842,3232235896,01,53738,502,0,0,01,01,64,128,0,0,01,09,02,00004,04,012,013,08,022,024,000,000,0,0,000,000,002,002,003,002,01,01,04,0
01,49,3232235842,3232235896,01,53741,502,0,0,01,01,64,128,0,0,09,05,02,00004,02,012,007,08,019,010,000,000,0,0,000,000,002,004,004,004,01,01,04,0
